USER,TOTAL_BETS,WINS,LOSSES,RATIO,ROI,PROFIT,AVG_MULTI,AVG_AMOUNT,AVG_DAY
pijush007,412,289,123,2.35,32.51,19.35,1.5249271844660202,0.14441747572815575,3
joshrektbookie,265,197,68,2.9,17.28,3646.37,1.4059245283018866,79.61079245283015,6
hatikvah,325,258,67,3.85,6.94,0.98,24.736153846153915,0.04338461538461528,2
pixelsdandis,270,165,105,1.57,20.44,340.86,2.001777777777778,6.177629629629629,12
JuiceGroove,414,259,155,1.67,19.51,3672.06,2.078671497584539,45.46951690821256,3
snegapes,468,285,183,1.56,19.48,715.7,2.000619658119657,7.851089743589726,8
alexraziks,950,571,379,1.51,19.14,1505.29,2.0189263157894723,8.278926315789468,10
Llonder,1550,1145,405,2.83,6.97,4236.19,107285.42207741943,39.22931612903226,12
zimakot,477,287,190,1.51,17.27,645.77,1.9989727463312361,7.837127882599566,8
singapurchiks,288,172,116,1.48,17.03,458.87,2.0180208333333334,9.353298611111127,13
razsashss,266,156,110,1.42,16.14,380.98,2.0146992481203014,8.871390977443612,12
newerasp,258,151,107,1.41,15.1,298.38,2.005542635658915,7.661201550387599,11
quintelafutsal,274,159,115,1.38,14.3,2806.1,2.2482846715328457,71.60222627737221,2
Slqq,349,231,118,1.96,7.11,1801.75,1.6769054441260758,72.61386819484237,4
laguna78,581,323,258,1.25,12.25,2465.79,2.238795180722888,34.64669535283994,4
MonstahDev,270,139,131,1.06,12.64,4809.62,3.438740740740744,140.95051851851855,4
Farleysdad11,293,160,133,1.2,10.35,675.12,46.5206825938567,22.272491467576796,2
BogdanMukha,1192,717,475,1.51,6.14,10783.22,1.9726006711409416,147.4143372483222,9
kangelis,707,387,320,1.21,7.31,21.63,1.825403111739747,0.4185855728429972,8
dragonboy9922,366,189,177,1.07,8.39,767.51,1.9500000000000002,25.008333333333336,3
